country,GunDeathsAllCausesTotal2019,totalRate,shareOfDeaths,GunDeathsViolentTotal2019,GunDeathsViolentPct2019,GunDeathsViolentRatePer100k2019,gunViolenceByCountry_suicidesPer100k,gunOwnershipByCountry_firearms,gunOwnershipByCountry_per100,gunOwnershipByCountry_military,gunOwnershipByCountry_lawEnf,population
Botswana,121.0,4.449029927631565,0.048496216493523,88.0,0.41000000000000003,3.76,1.0,97000,4.1,17100.0,11000.0,2719694
Lithuania,28.0,1.039810635628814,0.011222264973707001,9.0,0.02,0.30000000000000004,0.0,385000,13.6,81240.0,17000.0,2692798
Namibia,106.0,4.006342115159658,0.042484288829036,81.0,0.42,3.36,1.0,396000,15.4,11880.0,15000.0,2645805
Gabon,28.0,1.126961466370061,0.011222264973707001,14.0,0.12,0.78,0.0,61000,3.4,5640.0,4000.0,2484557
Lesotho,181.0,7.682242094187683,0.072543927151468,116.0,0.36,5.54,2.0,105000,4.8,2400.0,5000.0,2356083
Guinea-Bissau,87.0,3.95967683575397,0.03486918045402,55.0,0.37,2.89,2.0,29000,1.5,10260.0,4000.0,2197149
Slovenia,36.0,1.6989426441682611,0.014428626394767,4.0,0.02,0.2,1.0,324000,15.6,131686.0,13000.0,2118965
North Macedonia,45.0,2.160650615113222,0.018035782993459003,24.0,0.1,1.13,,621000,29.8,29530.0,21000.0,2082706
Latvia,26.0,1.43627364327382,0.010420674618442,8.0,0.03,0.43,1.0,205000,10.5,27936.0,17000.0,1810240
Equatorial Guinea,15.0,0.85470426377769,0.006011927664486,9.0,0.12,0.62,0.0,112000,12.5,2760.0,2000.0,1754993
Trinidad and Tobago,222.0,14.432453517097908,0.088976529434397,217.0,1.8399999999999999,15.62,0.0,43000,3.2,7695.0,9000.0,1538200
Bahrain,9.0,0.600515642765254,0.0036071565986910002,6.0,0.15,0.43,0.0,181000,12.8,25796.0,20000.0,1498712
Timor-Leste,13.0,0.9421088599540681,0.005210337309221,11.0,0.14,0.8300000000000001,0.0,3000,0.30000000000000004,2527.0,4000.0,1379883
Estonia,17.0,1.288815131599396,0.0068135180197510005,4.0,0.02,0.28,1.0,65000,5.0,38760.0,18000.0,1319041
Mauritius,4.0,0.30722485326172905,0.001603180710529,3.0,0.02,0.21,0.0,106000,8.3,4845.0,11000.0,1301978
Cyprus,19.0,1.49787105222288,0.007615108375016001,8.0,0.09,0.63,0.0,285000,34.0,99000.0,11000.0,1268467
Djibouti,51.0,4.425819362352245,0.020440554059253,38.0,0.5,3.16,0.0,28000,3.1,19855.0,5000.0,1152329
Fiji,1.0,0.10603644260459401,0.00040079517763200005,1.0,0.02,0.15,0.0,5000,0.5,16700.0,2000.0,943072
Comoros,30.0,3.45779473377862,0.012023855328972,21.0,0.43,2.99,1.0,12000,1.5,600.0,2000.0,867605
Guyana,92.0,11.22506997366989,0.036873156342182,84.0,1.26,10.94,0.0,122000,15.8,10890.0,4000.0,819594
Bhutan,4.0,0.5048070248945581,0.001603180710529,1.0,0.02,0.11,0.0,6000,0.8,15200.0,4000.0,792382
Solomon Islands,28.0,3.700409556043364,0.011222264973707001,12.0,0.19,1.77,1.0,1000,0.2,,70.0,756673
Luxembourg,7.0,1.058050707835923,0.002805566243426,1.0,0.03,0.23,1.0,110000,18.9,2340.0,5000.0,661594
Suriname,27.0,4.293995562871252,0.010821469796075001,17.0,0.39,2.94,1.0,88000,15.9,5985.0,2000.0,628785
Montenegro,28.0,4.472114767242398,0.011222264973707001,7.0,0.1,1.07,2.0,245000,39.1,5396.0,8000.0,626102
Cape Verde,41.0,6.782902453590885,0.016432602282929,34.0,0.98,6.11,1.0,31000,5.7,,19000.0,604461
Malta,5.0,0.93154972612438,0.002003975888162,2.0,0.06,0.48,0.0,119000,28.3,5547.0,1637.0,536740
Maldives,1.0,0.19309231550511902,0.00040079517763200005,1.0,0.06,0.18,0.0,23000,6.2,9500.0,3000.0,517887
Brunei,0.0,,,0.0,0.02,0.08,0.0,6000,1.4,20220.0,4000.0,0
Belize,82.0,19.680503820897815,0.032865204565858,67.0,3.34,16.22,0.0,37000,10.0,3690.0,2000.0,416656
Bahamas,82.0,19.748424340655504,0.032865204565858,81.0,2.9699999999999998,21.52,0.0,74000,18.8,2470.0,5000.0,415223
Iceland,4.0,1.05907241142845,0.001603180710529,0.0,0.01,0.06,1.0,106000,31.7,650.0,590.0,377689
Vanuatu,4.0,1.168480245380851,0.001603180710529,0.0,0.02,0.16,1.0,11000,3.9,,350.0,342325
Barbados,15.0,5.313326886496711,0.006011927664486,12.0,0.4,4.19,0.0,10000,3.5,1675.0,2000.0,282309
Sao Tome and Principe,4.0,1.6921833819130971,0.001603180710529,3.0,0.31,1.55,0.0,7000,3.4,570.0,300.0,236381
Samoa,3.0,1.3102382013049971,0.001202385532897,2.0,0.13,0.86,0.0,20000,10.1,,500.0,228966
Saint Lucia,20.0,11.061640994441525,0.008015903552648,17.0,1.24,9.96,0.0,6000,3.4,,831.0,180805
Guam,4.0,2.297345417370228,0.001603180710529,1.0,0.09,0.5700000000000001,1.0,20000,11.5,,500.0,174114
Kiribati,0.0,,,0.0,0.04,0.38,0.0,900,0.8,,200.0,0
Grenada,2.0,1.576205600258497,0.0008015903552640001,1.0,0.09,0.72,0.0,5000,4.6,,1000.0,126887
Micronesia,2.0,1.71969045571797,0.0008015903552640001,1.0,0.13,1.22,1.0,700,0.7000000000000001,,200.0,116300
Tonga,0.0,,,0.0,0.03,0.2,0.0,9000,8.0,,200.0,0
Seychelles,2.0,1.8473532046959722,0.0008015903552640001,2.0,0.24,1.8900000000000001,0.0,4000,4.1,798.0,200.0,108263
Saint Vincent and the Grenadines,13.0,12.538217451269734,0.005210337309221,11.0,1.04,9.43,0.0,4000,3.4,,854.0,103683
United States Virgin Islands,23.0,23.45622354800877,0.009218289085545001,20.0,1.57,19.4,,18000,16.6,,300.0,98055
Antigua and Barbuda,6.0,6.328045899426257,0.002404771065794,2.0,0.30000000000000004,2.04,0.0,5000,5.4,438.0,800.0,94816
Andorra,1.0,1.244694489737493,0.00040079517763200005,0.0,0.01,0.09,0.0,10000,14.1,,976.0,80341
Dominica,2.0,2.725984080252971,0.0008015903552640001,2.0,0.33,3.59,0.0,5000,6.2,,600.0,73368
Bermuda,1.0,1.564088527410651,0.00040079517763200005,1.0,0.16,1.42,0.0,3000,4.6,,500.0,63935
Greenland,10.0,17.609044005000968,0.004007951776324,1.0,0.25,2.18,22.0,13000,22.3,,300.0,56789
Northern Mariana Islands,1.0,1.999000499750125,0.00040079517763200005,0.0,0.12,1.02,,1000,2.6,,80.0,50025
Saint Kitts and Nevis,9.0,18.809956737099505,0.0036071565986910002,7.0,1.43,12.08,,2000,3.4,,450.0,47847
American Samoa,0.0,,,0.0,0.06,0.42,0.0,400,0.7000000000000001,,90.0,0
Marshall Islands,2.0,4.715312978898974,0.0008015903552640001,1.0,0.15,1.09,1.0,300,0.5,,80.0,42415
Monaco,1.0,2.765716182205382,0.00040079517763200005,0.0,0.01,0.09,,7000,19.6,,1000.0,36157
San Marino,1.0,2.97495091330993,0.00040079517763200005,0.0,0.01,0.08,,5000,14.4,,160.0,33614
Palau,0.0,,,0.0,0.07,0.86,,100,0.5,,30.0,0
Tuvalu,0.0,,,0.0,0.12,1.1,,100,1.2,,26.0,0
