country,Languages,Region,Population,Capital,Currencies,image_url,GunDeathsAllCausesTotal2019,totalRate,shareOfDeaths,GunDeathsViolentTotal2019,GunDeathsViolentPct2019,GunDeathsViolentRatePer100k2019,gunViolenceByCountry_suicidesPer100k,gunOwnershipByCountry_firearms,gunOwnershipByCountry_per100,gunOwnershipByCountry_military,gunOwnershipByCountry_lawEnf
Guam,"cha, eng, spa",Oceania,168783,Hagåtña,USD,,4.0,2.297345417370228,0.001603180710529,1.0,0.09,0.5700000000000001,1.0,20000,11.5,,500.0
Guatemala,spa,Americas,16858333,Guatemala City,GTQ,https://upload.wikimedia.org/wikipedia/commons/e/ec/Flag_of_Guatemala.svg,5981.0,32.57903862149432,2.3971559574195203,5165.0,5.45,29.06,0.0,2062000,12.1,160600.0,43000.0
Guinea,fra,Africa,13132792,Conakry,GNF,https://upload.wikimedia.org/wikipedia/commons/e/ed/Flag_of_Guinea.svg,477.0,3.283140967886476,0.191179299730665,283.0,0.25,2.24,1.0,130000,1.0,23080.0,13000.0
Guinea-Bissau,"por, pov",Africa,1967998,Bissau,XOF,https://upload.wikimedia.org/wikipedia/commons/0/01/Flag_of_Guinea-Bissau.svg,87.0,3.95967683575397,0.03486918045402,55.0,0.37,2.89,2.0,29000,1.5,10260.0,4000.0
Guyana,eng,Americas,786559,Georgetown,GYD,https://upload.wikimedia.org/wikipedia/commons/9/99/Flag_of_Guyana.svg,92.0,11.22506997366989,0.036873156342182,84.0,1.26,10.94,0.0,122000,15.8,10890.0,4000.0
Haiti,"fra, hat",Americas,11402533,Port-au-Prince,HTG,https://upload.wikimedia.org/wikipedia/commons/5/56/Flag_of_Haiti.svg,1975.0,16.6427488596557,0.7915704758240341,1268.0,1.27,10.22,0.0,291000,2.6,380.0,15000.0
Honduras,spa,Americas,9904608,Tegucigalpa,HNL,https://upload.wikimedia.org/wikipedia/commons/8/82/Flag_of_Honduras.svg,2092.0,19.443452547473346,0.838463511607028,1978.0,3.73,20.15,0.0,1171000,14.1,107720.0,29000.0
Hungary,hun,Europe,9749763,Budapest,HUF,https://upload.wikimedia.org/wikipedia/commons/c/c1/Flag_of_Hungary.svg,57.0,0.570285541970864,0.022845325125048,7.0,0.01,0.07,0.0,1023000,10.5,147880.0,17000.0
Iceland,isl,Europe,366425,Reykjavik,ISK,https://upload.wikimedia.org/wikipedia/commons/c/ce/Flag_of_Iceland.svg,4.0,1.05907241142845,0.001603180710529,0.0,0.01,0.06,1.0,106000,31.7,650.0,590.0
India,"eng, hin, tam",Asia,1380004385,New Delhi,INR,https://upload.wikimedia.org/wikipedia/en/4/41/Flag_of_India.svg,14711.0,1.020378541614199,5.896097858150571,7977.0,0.08,0.5700000000000001,1.0,71101000,5.3,3900000.0,1700000.0
Indonesia,ind,Asia,273523621,Jakarta,IDR,https://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_Indonesia.svg,439.0,0.156898878161941,0.175949082980633,153.0,0.01,0.06,0.0,82000,0.0,1711450.0,429000.0
Iran,fas,Asia,83992953,Tehran,IRR,https://upload.wikimedia.org/wikipedia/commons/c/ca/Flag_of_Iran.svg,873.0,0.972054480346634,0.349894190073105,525.0,0.13,0.62,0.0,5890000,7.3,3333550.0,98000.0
Iraq,"ara, arc, ckb",Asia,40222503,Baghdad,IQD,https://upload.wikimedia.org/wikipedia/commons/f/f6/Flag_of_Iraq.svg,4424.0,9.509140693733512,1.7731178658458382,2649.0,1.47,6.29,1.0,7588000,19.6,611000.0,56000.0
Ireland,"eng, gle",Europe,4994724,Dublin,EUR,https://upload.wikimedia.org/wikipedia/commons/4/45/Flag_of_Ireland.svg,29.0,0.569803032845411,0.01162306015134,9.0,0.03,0.18,0.0,342000,7.2,26636.0,3000.0
Israel,"ara, heb",Asia,9216900,Jerusalem,ILS,https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Israel.svg,201.0,2.158585823439278,0.080559830704116,95.0,0.2,1.02,1.0,557000,6.7,1016900.0,41000.0
Italy,ita,Europe,59554023,Rome,EUR,https://upload.wikimedia.org/wikipedia/en/0/03/Flag_of_Italy.svg,797.0,1.357803461748036,0.31943375657304,225.0,0.03,0.37,0.0,8609000,14.4,502960.0,273000.0
Ivory Coast,fra,Africa,26378275,Yamoussoukro,XOF,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_C%C3%B4te_d%27Ivoire.svg,1017.0,3.435427574937418,0.407608695652173,707.0,0.39,2.7,2.0,1049000,4.4,33045.0,15000.0
Jamaica,"eng, jam",Americas,2961161,Kingston,JMD,https://upload.wikimedia.org/wikipedia/commons/0/0a/Flag_of_Jamaica.svg,397.0,14.054400797525291,0.159115685520071,308.0,1.56,10.97,0.0,246000,8.8,8681.0,12000.0
Japan,jpn,Asia,125836021,Tokyo,JPY,https://upload.wikimedia.org/wikipedia/en/9/9e/Flag_of_Japan.svg,100.0,0.081545162091885,0.040079517763242,27.0,0.0,0.02,0.0,377000,0.3,745514.0,252000.0
Jordan,ara,Asia,10203140,Amman,JOD,https://upload.wikimedia.org/wikipedia/commons/c/c0/Flag_of_Jordan.svg,195.0,1.712791708190886,0.078155059638322,177.0,0.55,1.52,0.0,1473000,18.7,286450.0,60000.0
Kazakhstan,"kaz, rus",Asia,18754440,Nur-Sultan,KZT,https://upload.wikimedia.org/wikipedia/commons/d/d3/Flag_of_Kazakhstan.svg,209.0,1.054056187246777,0.083766192125176,107.0,0.08,0.58,0.0,504000,2.8,375690.0,65000.0
Kenya,"eng, swa",Africa,53771300,Nairobi,KES,https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Kenya.svg,2098.0,3.732894827912303,0.8408682826728221,1533.0,0.52,3.05,0.0,750000,1.5,45790.0,51527.0
Kiribati,"eng, gil",Oceania,119446,South Tarawa,"AUD, KID",https://upload.wikimedia.org/wikipedia/commons/d/d3/Flag_of_Kiribati.svg,0.0,,,0.0,0.04,0.38,0.0,900,0.8,,200.0
Kuwait,ara,Asia,4270563,Kuwait City,KWD,https://upload.wikimedia.org/wikipedia/commons/a/aa/Flag_of_Kuwait.svg,19.0,0.436843872000147,0.007615108375016,15.0,0.15,0.34,0.0,685000,16.7,82580.0,11000.0
Kyrgyzstan,"kir, rus",Asia,6591600,Bishkek,KGS,https://upload.wikimedia.org/wikipedia/commons/c/c7/Flag_of_Kyrgyzstan.svg,45.0,0.657932635300922,0.018035782993459,26.0,0.08,0.4,0.0,171000,2.8,145010.0,18000.0
Laos,lao,Asia,7275556,Vientiane,LAK,https://upload.wikimedia.org/wikipedia/commons/5/56/Flag_of_Laos.svg,192.0,2.481684329494779,0.076952674105425,175.0,0.39,2.45,0.0,215000,3.0,224690.0,21000.0
Latvia,lav,Europe,1901548,Riga,EUR,https://upload.wikimedia.org/wikipedia/commons/8/84/Flag_of_Latvia.svg,26.0,1.43627364327382,0.010420674618442,8.0,0.03,0.43,1.0,205000,10.5,27936.0,17000.0
Lebanon,"ara, fra",Asia,6825442,Beirut,LBP,https://upload.wikimedia.org/wikipedia/commons/5/59/Flag_of_Lebanon.svg,82.0,1.571168972708411,0.032865204565858,70.0,0.21,1.35,0.0,1927000,31.9,130150.0,41000.0
Lesotho,"eng, sot",Africa,2142252,Maseru,"LSL, ZAR",https://upload.wikimedia.org/wikipedia/commons/4/4a/Flag_of_Lesotho.svg,181.0,7.682242094187683,0.072543927151468,116.0,0.36,5.54,2.0,105000,4.8,2400.0,5000.0
Liberia,eng,Africa,5057677,Monrovia,LRD,https://upload.wikimedia.org/wikipedia/commons/b/b8/Flag_of_Liberia.svg,93.0,1.679625367688956,0.037273951519815,40.0,0.13,0.8300000000000001,1.0,97000,2.1,2520.0,5000.0
Libya,ara,Africa,6871287,Tripoli,LYD,https://upload.wikimedia.org/wikipedia/commons/0/05/Flag_of_Libya.svg,70.0,1.00514100907829,0.028055662434269,46.0,0.15,0.68,0.0,851000,13.3,,
Lithuania,lit,Europe,2794700,Vilnius,EUR,https://upload.wikimedia.org/wikipedia/commons/1/11/Flag_of_Lithuania.svg,28.0,1.039810635628814,0.011222264973707,9.0,0.02,0.3,0.0,385000,13.6,81240.0,17000.0
Luxembourg,"deu, fra, ltz",Europe,632275,Luxembourg,EUR,https://upload.wikimedia.org/wikipedia/commons/d/da/Flag_of_Luxembourg.svg,7.0,1.058050707835923,0.002805566243426,1.0,0.03,0.23,1.0,110000,18.9,2340.0,5000.0
Madagascar,"fra, mlg",Africa,27691019,Antananarivo,MGA,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Madagascar.svg,447.0,1.439307123346688,0.179155444401692,109.0,0.1,0.59,1.0,168000,0.7000000000000001,25320.0,20000.0
Malawi,"eng, nya",Africa,19129955,Lilongwe,MWK,https://upload.wikimedia.org/wikipedia/commons/d/d1/Flag_of_Malawi.svg,318.0,1.480725287183875,0.12745286648711,,0.09,0.59,1.0,47000,0.3,24480.0,8400.0
Malaysia,"eng, msa",Asia,32365998,Kuala Lumpur,MYR,https://upload.wikimedia.org/wikipedia/commons/6/66/Flag_of_Malaysia.svg,179.0,0.51626829165236,0.071742336796203,122.0,0.07,0.39,0.0,217000,0.7000000000000001,428170.0,102000.0
Maldives,div,Asia,540542,Malé,MVR,https://upload.wikimedia.org/wikipedia/commons/0/0f/Flag_of_Maldives.svg,1.0,0.193092315505119,0.000400795177632,1.0,0.06,0.18,0.0,23000,6.2,9500.0,3000.0
Mali,fra,Africa,20250834,Bamako,XOF,https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_Mali.svg,1105.0,4.601139691891864,0.442878671283827,841.0,0.42,3.83,1.0,206000,1.1,15800.0,3000.0
Malta,"eng, mlt",Europe,525285,Valletta,EUR,https://upload.wikimedia.org/wikipedia/commons/7/73/Flag_of_Malta.svg,5.0,0.93154972612438,0.002003975888162,2.0,0.06,0.48,0.0,119000,28.3,5547.0,1637.0
Marshall Islands,"eng, mah",Oceania,59194,Majuro,USD,https://upload.wikimedia.org/wikipedia/commons/2/2e/Flag_of_the_Marshall_Islands.svg,2.0,4.715312978898974,0.000801590355264,1.0,0.15,1.09,1.0,300,0.5,,80.0
Mauritania,ara,Africa,4649660,Nouakchott,MRU,https://upload.wikimedia.org/wikipedia/commons/4/43/Flag_of_Mauritania.svg,89.0,1.7821664014776362,0.035670770809285,63.0,0.3,1.57,0.0,120000,2.8,22820.0,10000.0
Mauritius,"eng, fra, mfe",Africa,1265740,Port Louis,MUR,https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_Mauritius.svg,4.0,0.307224853261729,0.001603180710529,3.0,0.02,0.21,0.0,106000,8.3,4845.0,11000.0
Mexico,spa,Americas,128932753,Mexico City,MXN,https://upload.wikimedia.org/wikipedia/commons/f/fc/Flag_of_Mexico.svg,22119.0,17.095032125235704,8.865188534051558,20509.0,2.78,16.41,0.0,16809000,12.9,895285.0,591000.0
Moldova,ron,Europe,2617820,Chișinău,MDL,https://upload.wikimedia.org/wikipedia/commons/2/27/Flag_of_Moldova.svg,23.0,0.6907186927998581,0.009218289085545,12.0,0.03,0.31,0.0,121000,3.0,98600.0,21000.0
