country,Languages,Region,Population,Capital,Currencies,image_url,GunDeathsAllCausesTotal2019,totalRate,shareOfDeaths,GunDeathsViolentTotal2019,GunDeathsViolentPct2019,GunDeathsViolentRatePer100k2019,gunViolenceByCountry_suicidesPer100k,gunOwnershipByCountry_firearms,gunOwnershipByCountry_per100,gunOwnershipByCountry_military,gunOwnershipByCountry_lawEnf
Nigeria,eng,Africa,206139587,Abuja,NGN,https://upload.wikimedia.org/wikipedia/commons/7/79/Flag_of_Nigeria.svg,5103.0,2.226904049547118,2.045257791458253,3482.0,0.22,1.62,0.0,6154000,3.2,224200.0,362400.0
North Korea,kor,Asia,25778815,Pyongyang,KPW,https://upload.wikimedia.org/wikipedia/commons/5/51/Flag_of_North_Korea.svg,93.0,0.35435885395317,0.037273951519815,36.0,0.02,0.14,0.0,76000,0.3,8363100.0,76000.0
Northern Mariana Islands,"cal, cha, eng",Oceania,57557,Saipan,USD,,1.0,1.999000499750125,0.000400795177632,0.0,0.12,1.02,,1000,2.6,,80.0
Norway,"nno, nob, smi",Europe,5379475,Oslo,NOK,https://upload.wikimedia.org/wikipedia/commons/d/d9/Flag_of_Norway.svg,77.0,1.396324619723683,0.030861228677696,4.0,0.01,0.07,1.0,1537000,28.8,188646.0,13000.0
Oman,ara,Asia,5106622,Muscat,OMR,https://upload.wikimedia.org/wikipedia/commons/d/dd/Flag_of_Oman.svg,4.0,0.08486167440994,0.001603180710529,1.0,0.01,0.03,0.0,792000,16.7,118360.0,31000.0
Pakistan,"eng, urd",Asia,220892331,Islamabad,PKR,https://upload.wikimedia.org/wikipedia/commons/3/32/Flag_of_Pakistan.svg,2948.0,1.202235726167812,1.181544183660382,1721.0,0.11,0.77,0.0,43917000,22.3,2315480.0,944000.0
Palau,"eng, pau",Oceania,18092,Ngerulmud,USD,https://upload.wikimedia.org/wikipedia/commons/4/48/Flag_of_Palau.svg,0.0,,,0.0,0.07,0.86,,100,0.5,,30.0
Palestine,ara,Asia,4803269,Ramallah,"EGP, ILS, JOD",https://upload.wikimedia.org/wikipedia/commons/0/00/Flag_of_Palestine.svg,265.0,4.822598441518169,0.106210722072592,231.0,1.39,4.67,0.0,56000,1.1,44410.0,33000.0
Panama,spa,Americas,4314768,Panama City,"PAB, USD",https://upload.wikimedia.org/wikipedia/commons/a/ab/Flag_of_Panama.svg,459.0,10.1370131058991,0.183964986533282,449.0,2.26,10.8,0.0,436000,10.8,,30000.0
Papua New Guinea,"eng, hmo, tpi",Oceania,8947027,Port Moresby,PGK,https://upload.wikimedia.org/wikipedia/commons/e/e3/Flag_of_Papua_New_Guinea.svg,141.0,1.34084102874649,0.056512120046171,97.0,0.14,0.98,1.0,79000,1.0,7200.0,4800.0
Paraguay,"grn, spa",Americas,7132530,Asunción,PYG,https://upload.wikimedia.org/wikipedia/commons/2/27/Flag_of_Paraguay.svg,624.0,8.981945426045051,0.250096190842631,513.0,1.5,7.4,1.0,1140000,16.7,235780.0,21000.0
Peru,"aym, que, spa",Americas,32971846,Lima,PEN,https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Peru.svg,879.0,2.534350394960777,0.352298961138899,511.0,0.33,1.5,0.0,633000,2.0,473400.0,142000.0
Philippines,"eng, fil",Asia,109581085,Manila,PHP,https://upload.wikimedia.org/wikipedia/commons/9/99/Flag_of_the_Philippines.svg,9268.0,7.781289414397017,3.714569706297293,9028.0,1.41,8.05,0.0,3776000,3.6,454700.0,139043.0
Poland,pol,Europe,37950802,Warsaw,PLN,https://upload.wikimedia.org/wikipedia/en/1/12/Flag_of_Poland.svg,111.0,0.275970255478345,0.044488264717198,35.0,0.01,0.09,0.0,968000,2.5,307200.0,188000.0
Portugal,por,Europe,10305564,Lisbon,EUR,https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Portugal.svg,211.0,2.063902934351551,0.084567782480441,47.0,0.04,0.44,1.0,2186000,21.3,333640.0,89000.0
Qatar,ara,Asia,2881060,Doha,QAR,https://upload.wikimedia.org/wikipedia/commons/6/65/Flag_of_Qatar.svg,7.0,0.255748775785413,0.002805566243426,4.0,0.09,0.14,0.0,390000,16.7,30680.0,5000.0
Romania,ron,Europe,19286123,Bucharest,RON,https://upload.wikimedia.org/wikipedia/commons/7/73/Flag_of_Romania.svg,31.0,0.15801012447324,0.012424650506605,13.0,0.0,0.07,0.0,506000,2.6,240180.0,251000.0
Russia,rus,Europe,144104080,Moscow,RUB,https://upload.wikimedia.org/wikipedia/en/f/f3/Flag_of_Russia.svg,2480.0,1.7227357051333332,0.993972040528408,1145.0,0.06,0.78,1.0,17620000,12.3,30272900.0,2432000.0
Rwanda,"eng, fra, kin",Africa,12952209,Kigali,RWF,https://upload.wikimedia.org/wikipedia/commons/1/17/Flag_of_Rwanda.svg,251.0,1.7412526335578922,0.100599589585738,134.0,0.2,1.06,1.0,66000,0.5,66500.0,14000.0
Saint Kitts and Nevis,eng,Americas,53192,Basseterre,XCD,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Saint_Kitts_and_Nevis.svg,9.0,18.809956737099505,0.003607156598691,7.0,1.43,12.08,,2000,3.4,,450.0
Saint Lucia,eng,Americas,183629,Castries,XCD,https://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_Saint_Lucia.svg,20.0,11.061640994441523,0.008015903552648,17.0,1.24,9.96,0.0,6000,3.4,,831.0
Saint Vincent and the Grenadines,eng,Americas,110947,Kingstown,XCD,,13.0,12.538217451269734,0.005210337309221,11.0,1.04,9.43,0.0,4000,3.4,,854.0
Samoa,"eng, smo",Oceania,198410,Apia,WST,https://upload.wikimedia.org/wikipedia/commons/3/31/Flag_of_Samoa.svg,3.0,1.3102382013049971,0.001202385532897,2.0,0.13,0.86,0.0,20000,10.1,,500.0
San Marino,ita,Europe,33938,City of San Marino,EUR,https://upload.wikimedia.org/wikipedia/commons/b/b1/Flag_of_San_Marino.svg,1.0,2.97495091330993,0.000400795177632,0.0,0.01,0.08,,5000,14.4,,160.0
Saudi Arabia,ara,Asia,34813867,Riyadh,SAR,https://upload.wikimedia.org/wikipedia/commons/0/0d/Flag_of_Saudi_Arabia.svg,534.0,1.424990691528502,0.214024624855713,80.0,0.06,0.22,0.0,5468000,16.7,481350.0,214000.0
Senegal,fra,Africa,16743930,Dakar,XOF,https://upload.wikimedia.org/wikipedia/commons/f/fd/Flag_of_Senegal.svg,241.0,1.322608533064143,0.096591637809413,63.0,0.07,0.42,1.0,323000,2.0,16320.0,6000.0
Serbia,srp,Europe,6908224,Belgrade,RSD,https://upload.wikimedia.org/wikipedia/commons/f/ff/Flag_of_Serbia.svg,300.0,4.227121550034747,0.120238553289726,79.0,0.07,0.9,2.0,2719000,39.1,384422.0,53100.0
Seychelles,"crs, eng, fra",Africa,98462,Victoria,SCR,https://upload.wikimedia.org/wikipedia/commons/f/fc/Flag_of_Seychelles.svg,2.0,1.847353204695972,0.000801590355264,2.0,0.24,1.89,0.0,4000,4.1,798.0,200.0
Sierra Leone,eng,Africa,7976985,Freetown,SLL,https://upload.wikimedia.org/wikipedia/commons/1/17/Flag_of_Sierra_Leone.svg,157.0,1.748724544919498,0.06292484288829,43.0,0.06,0.52,1.0,35000,0.5,10200.0,12000.0
Singapore,"eng, zho, msa, tam",Asia,5685807,Singapore,SGD,https://upload.wikimedia.org/wikipedia/commons/4/48/Flag_of_Singapore.svg,3.0,0.049564583395633,0.001202385532897,1.0,0.0,0.01,0.0,20000,0.3,574140.0,9000.0
Slovakia,slk,Europe,5458827,Bratislava,EUR,https://upload.wikimedia.org/wikipedia/commons/e/e6/Flag_of_Slovakia.svg,75.0,1.31513605871609,0.030059638322431,15.0,0.03,0.28,0.0,355000,6.5,33150.0,43000.0
Slovenia,slv,Europe,2100126,Ljubljana,EUR,https://upload.wikimedia.org/wikipedia/commons/f/f0/Flag_of_Slovenia.svg,36.0,1.6989426441682611,0.014428626394767,4.0,0.02,0.2,1.0,324000,15.6,131686.0,13000.0
Solomon Islands,eng,Oceania,686878,Honiara,SBD,https://upload.wikimedia.org/wikipedia/commons/7/74/Flag_of_the_Solomon_Islands.svg,28.0,3.700409556043364,0.011222264973707,12.0,0.19,1.77,1.0,1000,0.2,,70.0
Somalia,"ara, som",Africa,15893219,Mogadishu,SOS,https://upload.wikimedia.org/wikipedia/commons/a/a0/Flag_of_Somalia.svg,1313.0,7.018792295172878,0.526244068231371,783.0,0.42,3.85,1.0,1145000,12.4,37620.0,8000.0
South Africa,"afr, eng, nbl, nso, sot, ssw, tsn, tso, ven, xho, zul",Africa,59308690,Pretoria,ZAR,https://upload.wikimedia.org/wikipedia/commons/a/af/Flag_of_South_Africa.svg,3610.0,5.916071657623134,1.446870591253046,2937.0,0.56,5.28,0.0,5351000,9.7,350636.0,250481.0
South Korea,kor,Asia,51780579,Seoul,KRW,https://upload.wikimedia.org/wikipedia/commons/0/09/Flag_of_South_Korea.svg,44.0,0.085037361261303,0.017634987815826,13.0,0.0,0.02,0.0,79000,0.2,2688020.0,115000.0
South Sudan,eng,Africa,11193729,Juba,SSP,https://upload.wikimedia.org/wikipedia/commons/7/7a/Flag_of_South_Sudan.svg,295.0,2.615922615511162,0.118234577401564,202.0,0.28,2.18,1.0,1255000,9.6,351500.0,
Spain,"spa, cat, eus, glc",Europe,47351567,Madrid,EUR,https://upload.wikimedia.org/wikipedia/en/9/9a/Flag_of_Spain.svg,303.0,0.638252521050063,0.121440938822624,70.0,0.02,0.15,0.0,3464000,7.5,333660.0,264196.0
Sri Lanka,"sin, tam",Asia,21919000,Sri Jayawardenepura Kotte,LKR,https://upload.wikimedia.org/wikipedia/commons/1/11/Flag_of_Sri_Lanka.svg,311.0,1.416903743669264,0.124647300243683,223.0,0.16,1.02,0.0,494000,2.4,509700.0,134000.0
Sudan,"ara, eng",Africa,43849269,Khartoum,SDG,https://upload.wikimedia.org/wikipedia/commons/0/01/Flag_of_Sudan.svg,451.0,0.9137281022325192,0.180758625112222,207.0,0.1,0.51,0.0,2768000,6.6,590170.0,129000.0
Suriname,nld,Americas,586634,Paramaribo,SRD,https://upload.wikimedia.org/wikipedia/commons/6/60/Flag_of_Suriname.svg,27.0,4.293995562871252,0.010821469796075,17.0,0.39,2.94,1.0,88000,15.9,5985.0,2000.0
Sweden,swe,Europe,10353442,Stockholm,SEK,https://upload.wikimedia.org/wikipedia/en/4/4c/Flag_of_Sweden.svg,151.0,1.414696296090875,0.060520071822495,24.0,0.03,0.24,1.0,2296000,23.1,139180.0,38000.0
Switzerland,"fra, gsw, ita, roh",Europe,8654622,Bern,CHF,https://upload.wikimedia.org/wikipedia/commons/0/08/Flag_of_Switzerland_%28Pantone%29.svg,239.0,2.700128374722686,0.095790047454149,18.0,0.03,0.21,2.0,2332000,27.6,324484.0,34000.0
Syria,ara,Asia,17500657,Damascus,SYP,https://upload.wikimedia.org/wikipedia/commons/5/53/Flag_of_Syria.svg,180.0,0.739278824471098,0.072143131973836,146.0,0.17,1.0,0.0,1547000,8.2,655500.0,124000.0
Taiwan,zho,Asia,23503349,Taipei,TWD,,51.0,0.212941729873478,0.020440554059253,30.0,0.02,0.13,0.0,10000,0.0,2022150.0,76000.0
Tajikistan,"rus, tgk",Asia,9537642,Dushanbe,TJS,https://upload.wikimedia.org/wikipedia/commons/d/d0/Flag_of_Tajikistan.svg,40.0,0.387164977675583,0.016031807105296,17.0,0.03,0.18,0.0,37000,0.4,56490.0,9000.0
Tanzania,"eng, swa",Africa,59734213,Dodoma,TZS,https://upload.wikimedia.org/wikipedia/commons/3/38/Flag_of_Tanzania.svg,1685.0,2.427286806321945,0.675339874310632,1159.0,0.33,2.04,0.0,427000,0.8,190050.0,37000.0
Thailand,tha,Asia,69799978,Bangkok,THB,https://upload.wikimedia.org/wikipedia/commons/a/a9/Flag_of_Thailand.svg,2804.0,3.900631333318003,1.123829678081313,2351.0,0.47,3.35,0.0,10342000,15.1,1052815.0,230000.0
Timor-Leste,"por, tet",Asia,1318442,Dili,USD,,13.0,0.942108859954068,0.005210337309221,11.0,0.14,0.8300000000000001,0.0,3000,0.3,2527.0,4000.0
Togo,fra,Africa,8278737,Lomé,XOF,https://upload.wikimedia.org/wikipedia/commons/6/68/Flag_of_Togo.svg,268.0,2.89389845267137,0.107413107605489,176.0,0.33,2.22,1.0,58000,0.8,12850.0,5000.0
Tonga,"eng, ton",Oceania,105697,Nuku'alofa,TOP,https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Tonga.svg,0.0,,,0.0,0.03,0.2,0.0,9000,8.0,,200.0
Trinidad and Tobago,eng,Americas,1399491,Port of Spain,TTD,https://upload.wikimedia.org/wikipedia/commons/6/64/Flag_of_Trinidad_and_Tobago.svg,222.0,14.432453517097908,0.088976529434397,217.0,1.84,15.62,0.0,43000,3.2,7695.0,9000.0
Tunisia,ara,Africa,11818618,Tunis,TND,https://upload.wikimedia.org/wikipedia/commons/c/ce/Flag_of_Tunisia.svg,80.0,0.6367049753479771,0.032063614210593,24.0,0.04,0.21,0.0,123000,1.1,68020.0,73000.0
Turkey,tur,Asia,84339067,Ankara,TRY,https://upload.wikimedia.org/wikipedia/commons/b/b4/Flag_of_Turkey.svg,2232.0,2.587513575316938,0.894574836475567,967.0,0.21,1.19,0.0,13249000,16.5,1390180.0,620000.0
Turkmenistan,"rus, tuk",Asia,6031187,Ashgabat,TMT,https://upload.wikimedia.org/wikipedia/commons/1/1b/Flag_of_Turkmenistan.svg,57.0,0.863888854788013,0.022845325125048,33.0,0.1,0.64,0.0,23000,0.4,184700.0,27000.0
Tuvalu,"eng, tvl",Oceania,11792,Funafuti,"AUD, TVD",https://upload.wikimedia.org/wikipedia/commons/3/38/Flag_of_Tuvalu.svg,0.0,,,0.0,0.12,1.1,,100,1.2,,26.0
Uganda,"eng, swa",Africa,45741000,Kampala,UGX,https://upload.wikimedia.org/wikipedia/commons/4/4e/Flag_of_Uganda.svg,1108.0,2.219362245026725,0.444081056816724,799.0,0.33,1.94,0.0,331000,0.8,116660.0,54000.0
Ukraine,ukr,Europe,44134693,Kyiv,UAH,https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Ukraine.svg,917.0,2.41711299128118,0.367529177888931,289.0,0.04,0.66,0.0,4396000,9.9,6600000.0,289000.0
United Arab Emirates,ara,Asia,9890400,Abu Dhabi,AED,https://upload.wikimedia.org/wikipedia/commons/c/cb/Flag_of_the_United_Arab_Emirates.svg,89.0,0.927870766993614,0.035670770809285,38.0,0.13,0.41,0.0,1569000,16.7,163800.0,41000.0
United Kingdom,eng,Europe,67215293,London,GBP,https://upload.wikimedia.org/wikipedia/en/a/ae/Flag_of_the_United_Kingdom.svg,161.0,0.236899045059949,0.06452802359882,27.0,0.0,0.04,0.0,3584000,5.1,539680.0,46000.0
United States,eng,Americas,329484123,"Washington, D.C.",USD,https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg,37040.0,10.83628946958996,14.84545337950494,13001.0,0.44,3.96,6.0,393347000,120.5,4535380.0,1016000.0
Uruguay,spa,Americas,3473727,Montevideo,UYU,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Uruguay.svg,383.0,11.18798264606598,0.153504553033217,140.0,0.41,4.07,4.0,1198000,34.7,62130.0,30000.0
Uzbekistan,"rus, uzb",Asia,34232050,Tashkent,UZS,https://upload.wikimedia.org/wikipedia/commons/8/84/Flag_of_Uzbekistan.svg,58.0,0.162584287338686,0.02324612030268,29.0,0.01,0.09,0.0,127000,0.4,268400.0,150000.0
Vanuatu,"bis, eng, fra",Oceania,307150,Port Vila,VUV,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Vanuatu.svg,4.0,1.168480245380851,0.001603180710529,0.0,0.02,0.16,1.0,11000,3.9,,350.0
Venezuela,spa,Americas,28435943,Caracas,VES,https://upload.wikimedia.org/wikipedia/commons/0/06/Flag_of_Venezuela.svg,10599.0,36.05674288307117,4.248028087726048,9338.0,4.99,33.27,3.0,5895000,18.5,353300.0,173000.0
Vietnam,vie,Asia,97338583,Hanoi,VND,https://upload.wikimedia.org/wikipedia/commons/2/21/Flag_of_Vietnam.svg,506.0,0.508554571322668,0.202802359882005,128.0,0.02,0.13,0.0,1562000,1.6,3829200.0,285000.0
Yemen,ara,Asia,29825968,Sana'a,YER,https://upload.wikimedia.org/wikipedia/commons/8/89/Flag_of_Yemen.svg,472.0,1.340153236868989,0.189175323842503,243.0,0.14,0.77,0.0,14859000,52.8,28500.0,
Zambia,eng,Africa,18383956,Lusaka,ZMW,https://upload.wikimedia.org/wikipedia/commons/0/06/Flag_of_Zambia.svg,742.0,3.51081480002432,0.297390021803257,537.0,0.43,2.95,1.0,158000,0.9,41040.0,16000.0
Zimbabwe,"bwg, eng, kck, khi, ndc, nde, nya, sna, sot, toi, tsn, tso, ven, xho, zib",Africa,14862927,Harare,ZWL,https://upload.wikimedia.org/wikipedia/commons/6/6a/Flag_of_Zimbabwe.svg,253.0,1.486458451635548,0.101401179941002,119.0,0.09,0.79,3.0,455000,2.8,91580.0,23000.0
